Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Calculated Total Impact Energy (kt),Total Radiated Energy (J)
2017/7/31 22:01,24.7N,118.5W,,,,,,0.19,
2017/7/23 06:12,6.6S,69.7W,38,17.2,-0.4,8.7,-14.8,0.12,
2017/7/13 09:30,23.1N,60.7E,35,13.7,-10,-6.5,-6.8,0.23,
2017/6/30 14:26,34.3S,134.5E,20,15.2,10.9,-9.7,4.2,0.29,
2017/6/23 20:21,57.0N,143.7E,35.1,24.3,17.7,13.1,-10.3,0.52,
2017/6/20 13:41,54.2S,133.0E,33.3,13.6,8.7,-5.7,8.8,1.6,
2017/5/24 07:03,9.1S,101.8E,46,18.4,-6.5,-16.5,-5,0.28,
2017/5/22 17:44,49.6S,157.6W,33,,,,,0.12,
2017/5/14 09:30,26.0S,32.4E,33,,,,,0.12,
2017/4/30 21:28,25.7S,56.2E,32.4,21.5,-13.4,-14.2,8.9,0.43,
2017/3/11 04:51,28.3N,60.2W,28,,,,,2.9,
2017/3/9 04:16,40.5N,18.0W,23,36.5,-15.3,25.8,-20.8,1,
2017/3/8 22:21,26.1S,174.9E,37,,,,,0.23,
2017/2/25 01:22,29.5N,13.5E,25.4,12.2,-7.6,-9.3,2.2,0.21,
2017/2/21 18:47,50.7S,66.0W,,,,,,0.13,
2017/2/18 19:48,6.2N,60.4E,38,24.2,-6.6,-22.7,-5.3,0.79,
2017/2/7 17:37,27.4S,14.8W,54,,,,,0.073,
2017/2/6 06:09,10.4N,131.6E,33.5,,,,,0.21,
2016/12/23 03:29,21.3N,49.3E,42,29.7,-22.4,16.4,-10.5,0.13,
2016/12/7 04:51,34.5S,126.6W,,,,,,0.35,
2016/11/29 08:05,30.6S,93.1W,,,,,,0.11,
2016/11/24 14:10,15.2S,80.3E,30.6,17.4,9.1,-11.2,9.7,0.4,
2016/11/3 17:14,39.6S,16.3W,37,,,,,0.24,
2016/10/1 20:23,36.2N,6.7E,27.8,14.2,-10,3.9,-9.3,0.11,
2016/9/22 04:57,51.8S,178.5E,40,17.5,-2.5,-3.3,17,0.22,
2016/9/14 15:01,3.5S,44.6E,54,18.3,3.5,-16.2,7.7,0.24,
2016/8/27 21:45,56.9S,162.2E,42,,,,,0.41,
2016/8/11 05:59,43.7S,53.8E,34.3,14.9,-0.7,-11.4,9.6,0.52,
2016/8/5 18:02,46.4N,171.6E,32.4,,,,,0.36,
2016/7/21 00:48,7.8N,1.6W,37,,,,,0.15,
2016/7/5 01:24,1.0N,48.6E,38.2,25.1,-10.3,-2,-22.8,0.44,
2016/6/27 10:02,15.8N,11.9W,33.3,29.1,-29.1,1.5,0.7,1.2,
2016/6/5 06:12,17.4S,138.3E,28.7,14.5,6,-11.9,5.7,0.87,
2016/6/2 10:56,33.8N,110.9W,,,,,,0.49,
2016/5/29 12:14,10.2N,48.8W,32,,,,,0.22,
2016/5/20 11:59,32.8S,15.1E,30.6,20.8,5.4,-9.9,17.5,0.073,
2016/5/16 10:09,3.2N,6.6E,41.7,12.2,-6.7,-3.3,-9.6,1.3,
2016/5/13 00:34,26.2N,122.3W,33,,,,,0.31,
2016/4/24 05:39,9.8N,42.8W,50,,,,,0.42,
2016/4/18 11:59,20.7N,14.5W,31.5,17.1,-3.5,2.2,-16.6,0.62,
2016/4/12 09:51,38.3N,162.2E,,,,,,0.073,
2016/4/10 14:57,22.0N,149.0E,35.2,15.1,4.7,-12.9,-6.4,1.6,
2016/3/16 23:54,49.2S,6.3W,42,13.3,-7.6,9.1,6,0.11,
2016/3/3 01:32,48.0S,51.0E,31.8,11.7,4.8,-7.1,7.9,0.19,
2016/2/23 03:59,32.3N,67.2E,44,17.9,-8.5,-1.6,-15.7,0.12,
2016/2/21 05:58,36.5N,37.2W,32,,,,,0.96,
2016/2/19 08:15,0.7N,11.6W,39.4,15.5,-14.9,-0.5,4.1,0.56,
2016/2/6 13:55,30.4S,25.5W,31,15.6,2.7,14.5,5,13,
2016/1/27 09:59,45.8S,53.6E,37,11.5,-10,-4.4,3.6,0.16,
2016/1/21 16:44,10.8S,0.7E,42.5,18.1,-3.8,-17.7,-1.2,0.15,
2015/12/30 13:07,33.8N,160.7W,39,,,,,0.079,
2015/12/21 02:32,5.9N,143.0E,42.2,12.1,6.4,-10,2.5,0.26,
2015/12/8 00:34,69.9S,150.5E,38,,,,,0.55,
2015/11/13 14:59,16.0N,124.3E,28,,,,,0.31,
2015/11/2 21:34,41.4S,33.0E,37,,,,,0.24,
2015/10/31 11:34,9.0N,138.0W,71,,,,,0.29,
2015/10/13 12:23,8.0S,52.5W,38.9,12.9,-6.6,3.8,10.4,0.082,
2015/10/11 00:07,55.4S,18.8W,,,,,,0.1,
2015/10/10 09:57,51.0S,21.1W,51.8,11.8,-1.3,-5.1,10.6,0.12,
2015/10/4 21:02,22.0N,171.6W,36.1,,,,,0.15,
2015/9/17 21:03,43.1S,94.9E,,,,,,0.3,
2015/9/14 23:50,5.8N,15.2W,,,,,,0.22,
2015/9/8 13:46,6.3N,29.9E,44.4,16.1,-11.5,-11.3,-0.9,0.073,
2015/9/7 01:41,14.5N,98.9E,29.3,21,16.8,-12,-3.8,3.9,
2015/9/2 20:10,39.1N,40.2E,39.8,24.1,10.3,-12.2,-18,0.13,
2015/7/19 07:06,20.6N,87.6W,22,17.8,9.4,13,7.8,0.082,
2015/7/12 22:23,31.0N,159.6E,41,,,,,0.079,
2015/7/4 01:40,38.6N,103.1E,46.3,49,0.9,-40.4,-27.7,0.18,
2015/6/14 03:03,6.3N,124.1E,32.4,31.9,-4.7,-17.8,-26,0.22,
2015/6/12 17:03,1.3S,32.1W,43.5,,,,,0.5,
2015/6/10 17:43,11.5S,161.9W,61.1,,,,,1,
2015/6/2 08:44,6.4S,142.7W,,,,,,0.99,
2015/5/20 10:20,1.0N,172.6E,32.4,,,,,0.12,
2015/5/18 17:13,32.4N,139.1E,29,,,,,0.14,
2015/5/10 07:45,46.3S,179.3W,29.6,12.2,11.2,0.9,4.7,0.42,
2015/5/7 20:34,21.5S,29.3W,37,17.3,-16.2,-5.8,1.4,0.17,
2015/4/30 10:21,48.7S,139.1E,26.7,12.9,12.2,-4.2,0.9,0.32,
2015/4/21 01:42,37.7N,39.6W,37.4,21.3,-15.3,12.8,7.4,0.27,
2015/4/10 01:14,42.8S,8.2E,,,,,,0.21,
2015/4/8 04:06,25.5S,51.5E,36.3,19.2,8,-15.6,-7.9,0.49,
2015/4/3 01:39,8.4N,157.9W,,,,,,0.14,
2015/3/30 21:33,36.1S,5.5W,33.1,13.8,-13.7,-1.7,0.8,0.2,
2015/3/18 00:04,5.4S,159.3E,50,,,,,0.36,
2015/3/11 06:18,8.0N,119.1E,35.2,19.9,5.5,-10.5,-16,0.23,
2015/3/8 04:26,39.1S,118.6W,,,,,,0.073,
2015/3/4 04:30,15.9S,88.1E,39.8,18,7.8,-16,-2.5,0.18,
2015/2/26 22:06,68.0N,149.0W,33.7,21.1,5.6,-2.3,-20.2,0.53,
2015/2/25 10:53,12.4N,122.4W,42,,,,,0.19,
2015/2/17 13:19,8.0S,11.2W,39,28.8,-28.2,3.4,4.6,0.11,
2015/1/9 17:31,23.3S,49.2W,,,,,,0.079,
2015/1/9 10:41,2.0N,28.8E,36,17.5,-10.7,-7.6,11.6,0.41,
2015/1/7 01:05,45.7N,26.9E,45.5,35.7,-35.4,1.8,-4.4,0.4,
2015/1/2 13:39,31.1S,140.0E,38.1,18.1,4.5,-14.4,-10,0.073,
2014/12/13 02:53,86.7N,162.1W,30.7,21.7,15.3,-13.3,-7.8,0.15,
2014/12/12 06:48,33.5N,144.9E,26.3,12,11.5,-2.8,-2.2,0.11,
2014/12/9 21:19,76.6N,96.3E,26.3,,,,,0.24,
2014/11/28 11:47,45.8S,172.7W,26.1,13.4,0.4,-1.4,13.3,1.7,
2014/11/27 12:12,18.8S,73.4W,38,,,,,0.18,
2014/11/26 23:16,69.5S,179.7W,23.3,25.3,21.3,2.2,13.4,0.35,
2014/11/26 17:40,68.2S,24.0W,37,19.9,-7,16.1,9.4,0.32,
2014/11/4 20:13,43.1N,115.8E,22.2,16,-7.2,-12.1,-7.7,0.45,
2014/10/21 18:55,22.2N,132.9W,,,,,,0.12,
2014/10/17 14:07,4.6S,66.3W,39,,,,,0.23,
2014/10/14 10:25,2.0S,119.2E,27.2,16.9,15,-6.9,-3.5,0.1,
2014/10/6 20:02,43.7S,85.7E,,,,,,0.13,
2014/9/9 18:55,3.2N,137.2E,32.5,,,,,0.098,
2014/9/5 21:37,22.7N,150.0W,,,,,,0.12,
2014/8/29 23:15,6.2S,49.9W,,,,,,0.092,
2014/8/28 03:07,3.2N,45.4W,,,,,,0.12,
2014/8/23 06:29,61.7S,132.6E,22.2,16.2,-2.3,5.7,16.5,7.6,
2014/7/29 07:38,49.2S,172.2W,,,,,,0.23,
2014/7/29 03:07,33.9S,115.9W,,,,,,0.17,
2014/6/28 02:40,18.9N,141.2E,26.3,12.4,12,3.5,-10.5,0.67,
2014/6/26 05:54,71.5S,93.4E,28.5,11.2,7,2.9,8.3,0.2,
2014/5/29 01:12,21.9N,131.1W,28.7,,,,,0.19,
2014/5/16 20:06,39.4S,95.9W,30.8,18,2.9,13.4,-12.5,0.4,
2014/5/16 12:42,44.2S,176.2W,44,16.5,14.4,4.6,6.5,0.82,
2014/5/8 19:42,36.9S,87.3E,35.4,19,-2,-16.1,9.9,2.4,
2014/3/29 13:45,28.7S,121.5E,30.7,16.3,10,-12.7,2.2,0.13,
2014/3/18 11:02,0.0N,111.8W,30.5,,,,,1.3,
2014/3/3 15:00,29.0S,94.9W,,,,,,0.29,
2014/2/18 12:50,32.8S,61.5W,,,,,,0.092,
2014/2/13 06:47,13.3N,110.7W,25,,,,,1.5,
2014/1/15 02:46,18.5S,141.8E,29.6,,,,,0.41,
2014/1/12 16:00,2.9N,64.4E,37,16.2,-5.2,-15.1,2.6,0.24,
2014/1/8 17:05,1.3S,147.6E,18.7,44.8,-3.4,-43.5,-10.3,0.11,
2013/12/23 08:30,39.5N,2.0E,34.3,15.1,-1.1,11.4,-9.9,0.43,
2013/12/8 03:10,32.8N,165.1W,23.5,11.8,2.3,2.5,-11.3,0.2,
2013/11/21 01:50,44.7N,35.3E,59.3,12.4,-5,-11,-2.7,0.23,
2013/10/12 16:06,19.1S,25.0W,22.2,12.8,-8,8.4,-5.5,3.5,
2013/10/9 17:27,,,,,,,,0.19,
2013/9/24 15:31,10.3S,164.7W,40.7,,,,,0.46,
2013/8/12 18:08,34.4S,118.2E,66.6,,,,,0.15,
2013/7/31 07:00,,,,,,,,0.13,
2013/7/31 03:50,31.8S,137.1E,29.1,17.8,17.7,-2.3,-0.1,0.22,
2013/7/30 02:36,50.2S,90.2E,25.6,18.8,15.9,-8.6,5.1,1,
2013/7/27 08:30,0.3N,156.2E,26.5,22.1,16,14.9,-3.3,0.36,
2013/7/26 11:32,21.0N,178.5W,37,,,,,0.073,
2013/7/18 00:46,,,,,,,,0.079,
2013/6/13 02:51,,,,,,,,0.079,
2013/6/1 22:49,65.6S,138.4E,28.9,,,,,0.12,
2013/5/14 23:20,3.0S,76.4E,,,,,,0.073,
2013/4/30 08:40,35.5N,30.7W,21.2,12.1,1,9,-8,10,
2013/4/21 06:23,28.1S,64.6W,40.7,14.9,5,14,1,2.5,
2013/3/12 10:32,32.7S,17.1E,26,,,,,0.1,
2013/2/20 13:13,23.0S,38.8W,,13.6,-11,-8,-1,0.1,
2013/2/15 03:20,54.8N,61.1E,23.3,18.6,12.8,-13.3,-2.4,440,
2013/2/7 13:12,18.8S,158.6W,,,,,,0.21,
2013/1/25 07:40,60.3N,64.6W,,,,,,6.9,
2013/1/12 03:04,15.1S,155.6W,36.1,,,,,0.16,
2012/12/30 07:25,17.3N,83.6W,,,,,,0.55,
2012/12/18 11:19,,,,,,,,0.095,
2012/11/20 20:37,2.5N,29.6E,33.3,14.3,-12.2,-5.3,5.3,0.089,
2012/11/20 06:25,8.0S,86.0W,,,,,,0.36,
2012/10/25 15:57,,,,,,,,0.1,
2012/10/19 16:26,75.4S,49.6E,29.3,13.2,-2.3,-3.9,12.4,0.082,
2012/10/9 00:54,51.2N,84.6W,27.8,13.5,3.4,12,5.1,0.58,
2012/10/3 22:50,41.5S,21.9W,,17,-2.4,5.5,15.9,0.75,
2012/10/2 16:38,8.1S,111.9W,35,15.4,1.4,15.3,1,1.2,
2012/9/28 05:44,6.9S,73.7E,,,,,,0.13,
2012/9/18 19:34,1.2N,52.2W,28.1,18.3,-1.9,14.1,-11.5,0.67,
2012/9/11 22:07,18.9S,105.2E,,,,,,0.17,
2012/9/10 01:03,69.8S,111.7W,23.8,16.9,-10.2,-5.2,12.4,0.082,
2012/8/27 06:57,18.3S,64.2E,38.7,28.9,-8,-23.7,-14.5,0.22,
2012/8/26 14:55,11.8N,117.0E,36,12.7,5,-11.6,-0.7,0.68,
2012/8/13 05:31,,,,,,,,0.11,
2012/7/27 04:19,63.1N,172.3E,27.2,,,,,0.12,
2012/7/25 07:48,36.4N,41.5E,26.8,18.5,0.8,2,-18.4,0.39,
2012/6/5 07:44,,,,,,,,0.086,
2012/5/25 11:31,41.8S,36.2W,,,,,,0.19,
2012/5/22 08:31,,,,,,,,0.59,
2012/5/15 11:04,61.8S,135.5W,33.3,17.1,-0.8,1.1,17,0.39,
2012/5/4 21:54,76.7N,10.6W,,,,,,0.63,
2012/4/23 22:01,36.2N,107.4E,25.2,,,,,0.15,
2012/4/21 16:08,15.8S,174.8W,,,,,,0.42,
2012/4/19 22:12,5.5N,16.8E,,,,,,0.1,
2012/4/2 16:50,28.1N,95.2W,,,,,,0.11,
2012/3/12 06:40,2.5N,139.8E,25,11.8,0.1,-11.8,0.3,0.3,
2012/3/3 21:28,7.8N,2.7E,20.4,,,,,0.31,
2012/3/1 03:12,46.9N,29.8W,,,,,,0.079,
2012/2/24 19:11,22.7S,30.8E,,,,,,0.13,
2012/2/17 10:47,3.2S,39.9W,45.6,,,,,0.44,
2012/2/12 05:25,31.7S,54.9E,61,,,,,0.41,
2012/2/4 14:42,32.4N,0.1E,34.2,12.2,-3.9,10.9,4,0.43,
2012/1/15 12:26,64.1S,109.9E,26.3,12.3,-1.9,5.1,11,0.076,
2012/1/11 02:23,32.2N,88.5E,,,,,,0.26,
2011/12/19 11:35,30.2S,52.6E,36.1,,,,,0.4,
2011/12/14 05:01,62.9S,89.6E,32.4,,,,,0.16,
2011/12/11 17:29,,,,,,,,0.1,
2011/11/20 05:25,27.9S,116.3E,,,,,,0.082,
2011/10/12 07:13,26.4S,78.4W,,,,,,0.12,
2011/9/13 23:36,19.9S,13.8W,21.3,16.7,-3.7,1.8,16.2,0.21,
2011/8/31 09:44,18.6N,5.1W,,,,,,0.095,
2011/8/20 20:01,27.2S,2.8W,,,,,,0.082,
2011/8/18 14:55,,,,,,,,0.082,
2011/8/11 02:56,,,,,,,,0.12,
2011/8/4 07:25,40.7S,86.7W,63,,,,,0.098,
2011/7/27 23:00,45.3S,63.5E,29.6,,,,,0.15,
2011/7/7 23:25,,,,,,,,0.11,
2011/7/5 15:42,29.1N,139.7E,40.7,,,,,0.21,
2011/7/4 09:18,51.7S,175.0E,,,,,,0.1,
2011/6/16 11:51,67.3N,21.4W,40.5,,,,,0.086,
2011/5/25 05:40,4.1N,14.0E,59,11.6,-3.4,-10.8,2.4,4.8,
2011/5/16 13:39,1.2S,92.8E,,,,,,0.073,
2011/4/27 20:38,1.4N,126.6W,28.7,,,,,0.61,
2011/4/27 11:21,,,,,,,,0.086,
2011/4/17 11:21,,,,,,,,0.086,
2011/4/6 08:30,71.1N,43.5W,22.2,12.7,3.3,11.8,-3.5,0.43,
2011/3/24 20:23,0.6N,127.5W,59,,,,,0.19,
2011/3/23 04:24,,,,,,,,0.11,
2011/3/23 04:16,16.8S,85.6W,,,,,,0.079,
2011/3/1 10:37,53.5N,103.9E,30.6,11.9,-6.7,-1.1,-9.8,0.13,
2011/2/21 05:07,26.3N,43.7E,44.4,18,10.3,-14.8,0.1,0.13,
2011/2/12 11:00,7.8N,95.3W,,,,,,0.073,
2011/1/21 15:11,18.9N,44.6W,61,,,,,0.23,
2011/1/8 19:38,33.3N,125.8W,48,,,,,0.1,
2010/12/25 23:24,38.0N,158.0E,26,18.1,18,-2,-4,33,
2010/12/14 00:27,4.9S,175.5E,24,,,,,0.13,
2010/12/9 02:54,54.5S,169.7W,66,,,,,0.2,
2010/12/1 06:31,72.5S,144.9E,33.3,,,,,0.39,
2010/11/21 14:45,1.9N,143.3E,50,,,,,0.25,
2010/11/19 07:25,10.3S,148.8E,30,,,,,0.11,
2010/11/10 08:26,74.5N,77.7W,,,,,,0.22,
2010/11/9 13:05,56.3S,16.7W,37,,,,,0.27,
2010/11/9 06:56,14.0S,160.0W,26,,,,,0.073,
2010/10/27 11:27,14.1S,67.7E,35.2,,,,,0.42,
2010/10/8 09:58,,,,,,,,0.073,
2010/9/24 12:02,67.4S,50.6W,,,,,,0.16,
2010/9/18 05:04,7.4N,36.7E,,,,,,0.21,
2010/9/8 19:51,13.9S,65.5W,46.3,,,,,0.21,
2010/9/5 23:37,25.9S,49.0E,35.2,,,,,1.7,
2010/9/3 12:04,61.0S,146.7E,33.3,12.3,9.8,-3.5,6.5,3.8,
2010/8/17 04:19,20.7N,114.3W,33.3,,,,,0.076,
2010/7/15 01:49,60.9N,178.1W,,,,,,0.086,
2010/7/6 23:54,34.1S,174.5W,26,15.7,12.1,10,0.2,14,
2010/6/26 06:04,0.5S,133.2E,50,,,,,0.34,
2010/6/21 06:42,22.5S,120.9W,,,,,,0.47,
2010/6/17 04:24,26.1S,100.0E,42,,,,,0.35,
2010/4/17 02:21,13.1N,173.0W,,,,,,0.18,
2010/4/16 04:38,1.8N,176.9W,22.2,18.8,12.4,-13.2,-5.2,2,
2010/4/6 18:33,52.8N,146.5W,,,,,,0.25,
2010/3/18 16:11,32.4S,51.8W,,,,,,0.5,
2010/3/15 15:55,,,,,,,,0.25,
2010/3/14 18:44,33.8N,90.2W,35.6,,,,,0.14,
2010/3/8 22:44,18.2N,110.1E,53,,,,,0.1,
2010/3/8 22:02,32.0N,92.9W,52,24.5,19.1,11,10.7,0.85,
2010/2/28 22:24,48.7N,21.0E,37,15.1,-11.7,2.7,-9.1,0.44,
2010/2/26 22:46,37.3S,166.0W,,,,,,0.65,
2010/2/24 19:55,2.6S,102.2W,,,,,,0.28,
2010/1/15 19:17,8.3S,27.0E,25,14,-9.1,6,8.8,1.2,
2009/12/31 16:24,,,,,,,,0.26,
2009/12/31 12:50,37.9N,178.3W,20.7,,,,,0.31,
2009/11/25 01:36,52.8S,136.5E,,,,,,0.2,
2009/11/21 20:53,22.0S,29.2E,38,32.1,3,-17,-27,18,
2009/11/18 17:36,,,,,,,,0.26,
2009/11/18 07:07,40.4N,113.2W,31.5,,,,,1.8,
2009/11/14 19:58,,,,,,,,0.082,
2009/11/7 11:31,45.5N,157.7W,,,,,,0.079,
2009/11/7 10:41,24.0N,64.1E,37,,,,,0.14,
2009/10/11 12:49,78.3S,70.2E,27.8,,,,,0.22,
2009/10/8 02:57,4.2S,120.6E,19.1,19.2,14,-16,-6,33,
2009/9/27 22:22,36.0S,67.6W,37,,,,,0.27,
2009/9/18 20:13,7.7N,29.5W,,,,,,0.42,
2009/9/4 02:23,42.5N,110.0E,28.3,24,19.2,-11.6,-8.5,2.3,
2009/8/23 21:17,67.7S,18.3E,34,12.2,-6.9,5.3,8.5,0.75,
2009/7/31 02:13,8.9N,121.9W,,,,,,0.089,
2009/7/16 06:39,24.4S,59.8W,32.2,,,,,1.8,
2009/7/3 04:02,,,,,,,,0.095,
2009/6/27 13:08,26.6S,12.6W,26.1,15.2,-11.6,1.6,9.7,0.11,
2009/6/20 11:04,,,,,,,,0.095,
2009/6/18 04:39,23.7S,16.0W,57.4,,,,,0.11,
2009/6/9 22:42,54.9N,152.7W,34.2,,,,,0.76,
2009/5/31 06:05,19.7N,121.0W,,,,,,0.42,
2009/5/13 20:20,,,,,,,,0.23,
2009/5/4 11:39,36.4N,160.4W,40.7,,,,,0.41,
2009/4/20 04:01,6.0N,84.3E,,,,,,0.079,
2009/4/10 18:42,44.7S,25.7E,32.4,19.1,-18.9,2.6,0.3,0.73,
2009/3/4 00:38,,,,,,,,0.48,
2009/2/20 12:15,64.9S,70.0W,,,,,,0.16,
2009/2/7 19:51,56.6N,69.8E,40,15.4,-2.4,-1.9,-15.1,3.5,
2009/1/12 22:24,47.8N,44.3W,,,,,,0.16,
2009/1/10 07:42,64.0S,122.8E,26.5,,,,,0.082,
2008/12/24 15:51,68.9S,102.0W,21.1,24.1,-13.4,18,8.8,0.12,
2008/12/12 11:36,7.0S,9.7W,50,,,,,0.6,
2008/12/9 06:08,,,,,,,,0.12,
2008/11/24 22:01,57.9S,146.1E,34.8,23.7,21.5,10,0.4,0.42,
2008/11/21 00:26,53.1N,109.9W,28.2,12.9,3.9,-4.1,-11.6,0.41,
2008/11/18 09:41,29.4S,75.9E,35.2,22.4,-4,-15.2,-16,0.089,
2008/11/9 02:38,14.5N,112.7E,29.6,,,,,0.61,
2008/10/21 02:20,32.8N,165.6W,29.6,11.3,9.6,5.8,1.5,0.15,
2008/10/10 09:34,57.3S,17.0E,21.4,,,,,0.51,
2008/10/7 02:45,20.9N,31.4E,38.9,13.3,-9,9,3.8,1,
2008/9/9 09:49,,,,,,,,0.19,
2008/8/16 14:40,11.3N,97.2E,,,,,,0.38,
2008/8/12 11:44,11.6S,175.0W,,,,,,0.073,
2008/8/7 06:07,18.5N,180.0E,45.4,13.8,6.5,-12.1,1.7,0.14,
2008/7/23 14:45,38.6N,68.0E,31.5,14.5,-7.7,-8.2,-9.1,0.36,
2008/7/22 19:34,17.8S,89.2W,54.4,,,,,0.2,
2008/7/11 14:35,,,,,,,,0.17,
2008/7/8 15:55,72.8N,147.3E,52.2,21.7,-12.9,1.9,-17.4,0.21,
2008/7/1 17:40,37.1N,115.7W,36.1,9.8,2.8,1.7,-9.2,0.12,
2008/6/27 02:01,26.9S,17.7W,33.7,23.1,-17.9,13,6.6,0.49,
2008/6/18 13:45,6.1N,103.1E,,,,,,0.076,
2008/5/29 21:23,15.7N,83.5W,,,,,,0.076,
2008/5/24 10:18,0.8N,162.0E,37,14.2,7.9,3.1,11.4,0.43,
2008/5/22 20:50,46.9N,134.5E,,,,,,0.076,
2008/5/6 01:08,,,,,,,,0.18,
2008/4/30 01:18,33.6S,35.1W,,,,,,0.073,
2008/4/6 16:03,,,,,,,,0.24,
2008/3/15 11:29,28.0N,41.5W,26.7,12.9,-4.1,4.8,-11.2,0.16,
2008/2/24 19:33,,,,,,,,0.23,
2008/2/19 13:30,48.9N,119.8W,,,,,,0.073,
2008/2/18 08:51,,,,,,,,0.16,
2008/2/17 12:19,74.9N,73.4W,40.4,13.9,-5.8,-10.7,-6.7,0.33,
2008/2/16 08:38,,,,,,,,0.22,
2008/1/18 01:17,,,,,,,,0.15,
2008/1/9 03:53,66.8S,67.3W,31.5,11.6,4.3,5.7,9.1,0.14,
2007/12/26 06:46,61.6S,158.9W,,,,,,0.4,
2007/12/20 17:00,51.3N,115.4E,,,,,,0.36,
2007/10/25 19:35,40.9S,91.3E,46.3,,,,,0.19,
2007/10/12 09:14,88.5N,116.6E,37,18.4,-4.5,-14.1,-10.9,0.11,
2007/10/7 13:31,35.2S,125.6E,,,,,,0.19,
2007/9/22 17:57,49.2S,85.5W,30.2,16.9,-9.2,13.6,3.8,0.65,
2007/6/11 09:47,23.4S,170.9W,35.2,17,16.7,-2.1,-2.2,0.16,
2007/6/8 13:32,52.0S,175.3E,38.9,,,,,0.65,
2007/6/7 21:28,21.9N,53.1E,29.6,,,,,0.11,
2007/5/16 16:20,4.5S,111.7E,,,,,,0.13,
2007/5/16 04:45,42.4S,164.0E,31.5,,,,,1,
2007/5/4 17:52,22.9N,109.4E,48,,,,,0.5,
2007/4/18 12:44,83.7S,171.2W,38,24.4,-5.3,-2.5,23.7,0.33,
2007/4/16 14:56,,,,,,,,0.086,
2007/3/17 06:48,7.1N,4.1E,32.5,14.5,-7.3,-1.9,-12.4,0.13,
2007/3/15 02:20,44.1S,148.4W,,,,,,0.089,
2007/3/7 15:16,,,,,,,,0.095,
2007/2/2 12:48,24.0N,37.2W,35.5,,,,,0.89,
