time,Bx,By,Bz,BT
0.00262,727.73,1428.53,1429.65,2148.06
0.009102,727.88,1428.53,1429.58,2148.06
0.01881,728.4,1428.68,1429.35,2148.19
0.026438,728.85,1428.53,1428.98,2147.99
0.035265,729.53,1428.53,1428.53,2147.92
0.045323,730.28,1428.75,1428.38,2148.23
0.054429,731.33,1428.68,1428.15,2148.39
0.064563,732.6,1428.75,1427.78,2148.62
0.073753,733.73,1428.98,1427.48,2148.95
0.083833,735,1428.98,1426.73,2148.89
0.093435,736.28,1428.83,1425.83,2148.63
0.102974,737.62,1428.83,1425.15,2148.65
0.113636,739.43,1428.83,1423.95,2148.47
0.122948,741.38,1428.98,1422.68,2148.4
0.131672,743.33,1428.68,1421.18,2147.88
0.141923,745.35,1428.15,1419.08,2146.84
0.151418,747.68,1427.85,1416.75,2145.92
0.161549,750.15,1427.48,1414.35,2144.95
0.170863,752.33,1427.18,1411.88,2143.88
0.182232,754.73,1426.65,1409.25,2142.64
0.191003,756.9,1426.28,1406.48,2141.34
0.200763,758.78,1425.53,1403.25,2139.39
0.20988,758.78,1425.53,1403.25,2139.39
0.219878,760.5,1425.38,1400.18,2137.88
0.229201,761.93,1424.85,1397.55,2136.32
0.239293,763.28,1424.25,1394.55,2134.44
0.248623,764.48,1423.73,1391.55,2132.56
0.258282,765.6,1423.12,1388.85,2130.81
0.26854,766.35,1422.68,1385.85,2128.82
0.278143,767.03,1421.85,1382.85,2126.56
0.287228,767.7,1421.33,1380.45,2124.89
0.298326,768.15,1420.65,1377.98,2123
0.306994,768.75,1420.35,1375.12,2121.16
0.316543,769.05,1419.83,1372.95,2119.51
0.326978,769.13,1419.15,1370.55,2117.53
0.336907,769.35,1418.55,1368.38,2115.81
0.346646,769.73,1418.25,1366.43,2114.48
0.356054,769.88,1417.95,1364.78,2113.27
0.364868,770.03,1417.35,1362.98,2111.76
0.374362,770.48,1416.98,1361.55,2110.75
0.386273,770.7,1416.45,1360.58,2109.85
0.394021,770.93,1416.38,1359.45,2109.16
0.40365,770.85,1416.15,1358.55,2108.4
0.413744,770.93,1416.08,1357.73,2107.85
0.423324,770.93,1415.85,1356.98,2107.21
0.432701,770.93,1415.62,1356.45,2106.72
0.442102,771,1415.78,1355.85,2106.46
0.452692,770.7,1415.33,1355.55,2105.86
0.463356,770.55,1415.25,1355.03,2105.42
0.472133,770.55,1415.03,1355.18,2105.36
0.481014,770.85,1415.18,1355.18,2105.57
0.492145,771.08,1414.95,1355.25,2105.55
0.506591,771.08,1414.95,1355.25,2105.55
0.509786,771.23,1414.95,1355.55,2105.8
0.520125,771.08,1414.88,1356.08,2106.03
0.529095,771,1415.03,1356.75,2106.54
0.538955,771.23,1415.55,1357.43,2107.41
0.548575,771.3,1415.85,1358.55,2108.36
0.557972,771.3,1416.15,1359.45,2109.14
0.567714,771.15,1416.45,1360.73,2110.11
0.59316,770.78,1416.75,1362.15,2111.1
0.594825,770.63,1417.05,1363.65,2112.21
0.59807,770.48,1417.65,1365.38,2113.67
0.606923,770.4,1418.03,1366.88,2114.87
0.616793,770.03,1418.55,1368.83,2116.34
0.626612,769.88,1418.85,1370.93,2117.85
0.635203,769.73,1419.45,1372.95,2119.51
0.646047,769.43,1420.05,1375.05,2121.16
0.654061,768.9,1420.88,1377.45,2123.08
0.664356,768.3,1421.62,1380.45,2125.31
0.673263,767.78,1422.38,1383.15,2127.38
0.689261,766.8,1422.83,1386.45,2129.47
0.693713,765.9,1423.65,1389.23,2131.51
0.702695,764.7,1424.25,1392.45,2133.58
0.712357,763.28,1424.85,1395.75,2135.63
0.72209,761.85,1425.45,1398.83,2137.53
0.731745,760.73,1426.05,1401.75,2139.44
0.741888,759,1426.65,1404.68,2141.15
0.751319,757.35,1427.25,1407.38,2142.74
0.762396,755.62,1427.62,1409.85,2144.01
0.770588,753.6,1427.85,1412.33,2145.07
0.780291,751.65,1428.23,1414.43,2146.02
0.789711,749.4,1428.45,1416.45,2146.72
0.802257,749.4,1428.45,1416.45,2146.72
0.810458,747.15,1428.45,1418.78,2147.47
0.819774,744.83,1428.68,1420.58,2148
0.828577,742.58,1428.98,1422.15,2148.46
0.838237,740.48,1429.05,1423.35,2148.58
0.848497,738.68,1429.05,1424.55,2148.76
0.857533,737.1,1429.12,1425.38,2148.82
0.866933,735.23,1429.28,1426.12,2148.77
0.878896,734.03,1429.35,1426.88,2148.91
0.886604,732.6,1429.65,1427.25,2148.87
0.897124,731.4,1429.35,1427.55,2148.46
0.906392,730.73,1429.05,1427.62,2148.08
0.916386,729.98,1428.83,1428.15,2148.03
0.926979,729.23,1428.83,1428.68,2148.12
0.935943,728.85,1428.98,1429.05,2148.34
0.947244,728.78,1428.98,1429.58,2148.67
0.954405,728.62,1428.98,1429.65,2148.67
0.964173,729.08,1429.05,1429.73,2148.92
0.97461,729.68,1429.28,1429.95,2149.42
0.98324,730.2,1429.58,1430.33,2150.05
0.994312,731.03,1429.65,1430.25,2150.33
1.003075,732,1429.73,1429.65,2150.31
1.013207,732.98,1429.88,1429.28,2150.49
1.023082,734.25,1429.88,1428.53,2150.43
1.032468,735.68,1429.95,1428.08,2150.67
1.042051,737.25,1429.95,1427.18,2150.61
1.052523,738.68,1429.88,1425.83,2150.15
1.060647,740.4,1429.65,1424.25,2149.55
1.071936,742.2,1429.43,1422.83,2149.08
1.080566,743.93,1429.35,1421.48,2148.73
1.090733,745.58,1428.98,1419.38,2147.67
1.099828,745.58,1428.98,1419.38,2147.67
1.109463,747.3,1428.53,1417.12,2146.48
1.118887,749.25,1428.15,1414.95,2145.48
1.133251,751.05,1427.78,1412.55,2144.28
1.138132,752.85,1427.18,1410.15,2142.93
1.148391,754.58,1426.88,1407.75,2141.76
1.158868,756.53,1426.43,1404.75,2140.17
1.168449,758.48,1425.75,1401.45,2138.25
1.180848,760.35,1425.15,1398.75,2136.75
1.187212,762.23,1424.48,1395.45,2134.81
1.196801,763.65,1423.88,1392.15,2132.76
1.206878,764.78,1423.05,1388.93,2130.51
1.215901,766.05,1422.45,1385.85,2128.56
1.227031,767.18,1421.55,1382.62,2126.27
1.235448,768,1420.88,1380.15,2124.51
1.245185,768.53,1420.05,1377.75,2122.59
1.255476,769.2,1419.83,1375.05,2120.93
1.264072,769.35,1419.38,1372.88,2119.27
1.274329,769.73,1418.93,1370.62,2117.65
1.283942,770.18,1418.62,1368.83,2116.45
1.293117,770.48,1418.33,1366.95,2115.14
1.303345,770.4,1417.95,1365.38,2113.85
1.31261,770.48,1417.35,1363.73,2112.41
1.323008,770.63,1417.35,1362.45,2111.64
1.332694,770.4,1416.75,1361.25,2110.38
1.343533,770.48,1416.38,1360.35,2109.57
1.351071,770.55,1416.08,1359.15,2108.63
1.361768,770.4,1415.55,1358.25,2107.64
1.370472,770.25,1415.25,1357.73,2107.04
1.382436,770.55,1415.25,1357.05,2106.72
1.391795,770.55,1415.25,1357.05,2106.72
1.40081,770.4,1415.03,1356.53,2106.17
1.409875,770.48,1414.95,1356.15,2105.91
1.419335,770.85,1415.03,1355.93,2105.95
1.428379,770.85,1415.03,1355.85,2105.9
1.438244,770.93,1415.03,1355.93,2105.98
1.449199,771.23,1415.25,1355.85,2106.19
1.458741,771.45,1415.48,1355.85,2106.43
