time,Bx,By,Bz,BT
0.003333,8.48,26.93,72.75,78.03
0.004296,8.03,26.93,72.45,77.71
0.007738,8.1,27.15,72.45,77.79
0.017806,8.4,27.38,72.68,78.11
0.026448,8.55,27.45,72.68,78.16
0.03607,8.93,27.68,72.98,78.56
0.045655,8.93,27.68,72.98,78.56
0.054943,9.45,27.75,73.05,78.71
0.065906,10.43,27.75,73.35,79.11
0.074274,11.55,27.75,73.95,79.83
0.084462,12.75,28.05,74.18,80.32
0.093798,13.88,27.75,74.25,80.47
0.104091,15.45,27.75,74.25,80.76
0.113198,17.1,27.83,73.95,80.84
0.124188,18.83,27.83,73.95,81.22
0.132904,20.55,27.98,73.95,81.69
0.143392,22.28,27.83,73.58,81.75
0.152925,24.15,27.75,72.98,81.72
0.163292,26.25,27.53,72.45,81.83
0.176011,28.28,27.75,71.55,81.79
0.192456,30,27.53,70.73,81.61
0.193047,31.73,27.15,69.75,81.29
0.201277,33.53,26.85,68.33,80.7
0.211091,35.18,26.55,66.83,80.05
0.219905,36.75,26.25,65.55,79.6
0.229179,38.1,25.95,64.05,78.91
0.239816,39.53,25.58,62.33,78.11
0.249497,40.88,24.83,60.98,77.49
0.25971,42.08,24.45,59.18,76.61
0.269364,43.12,24.15,57.45,75.79
0.2794,43.95,23.62,55.95,74.97
0.288384,44.78,23.18,54.38,74.15
0.297963,45.53,22.73,52.95,73.43
0.307828,46.12,22.12,51.45,72.55
0.319855,46.43,21.68,50.25,71.76
0.32674,46.65,21.38,49.05,70.99
0.336509,46.65,21.38,49.05,70.99
0.345172,46.88,21.15,48.15,70.45
0.356502,47.18,20.78,47.48,70.08
0.366429,47.25,20.55,46.65,69.51
0.37505,47.33,20.33,46.05,69.09
0.384394,47.4,20.25,45.68,68.87
0.395103,47.48,20.25,45.68,68.92
0.404027,47.55,20.48,45.75,69.09
0.414441,47.48,20.55,45.75,69.06
0.424245,47.4,20.78,46.28,69.42
0.433993,47.18,21.15,46.95,69.84
0.442679,47.03,21.45,47.55,70.23
0.454045,46.73,21.75,48.75,70.94
0.462189,46.2,22.05,49.88,71.47
0.47342,45.6,22.35,51.23,72.13
0.480649,45.08,22.88,52.43,72.82
0.494835,44.55,23.25,54.08,73.82
0.500957,43.8,23.55,55.65,74.63
0.511602,42.75,24.15,57.45,75.57
0.519923,41.7,24.45,59.33,76.53
0.530733,40.43,25.05,61.05,77.39
0.539946,39.08,25.65,62.78,78.27
0.556511,37.73,26.25,64.58,79.26
0.558662,35.93,26.55,66.45,80.07
0.56911,34.12,26.85,68.03,80.7
0.577387,32.18,27.23,69.45,81.24
0.588555,30.3,27.45,70.65,81.63
0.598483,28.35,27.75,71.85,82.07
0.606935,26.48,27.83,72.68,82.2
0.616161,24.75,28.05,73.43,82.41
0.626128,22.73,28.05,73.95,82.29
0.635431,22.73,28.05,73.95,82.29
0.647394,20.93,28.05,74.25,82.08
0.654927,18.83,28.13,74.55,81.87
0.665034,17.25,28.28,74.62,81.65
0.673923,15.75,28.05,74.62,81.26
0.689412,14.4,28.13,74.48,80.9
0.693197,13.13,27.83,74.48,80.58
0.704118,11.93,27.53,74.25,80.08
0.714288,10.95,27.45,73.95,79.64
0.723687,10.05,27.38,73.73,79.28
0.732711,9.68,27.23,73.43,78.91
0.74344,9.15,26.85,73.28,78.57
0.752279,8.85,26.85,73.05,78.33
0.763051,8.4,26.85,73.12,78.35
0.771854,8.25,27.08,73.12,78.41
0.781546,8.18,26.93,73.35,78.56
0.790026,8.62,27.15,73.43,78.76
0.806038,8.93,27.45,73.65,79.1
0.809414,9.53,27.68,73.65,79.25
0.820628,10.12,28.05,74.03,79.81
0.831656,11.03,28.05,74.25,80.13
0.838598,12.08,27.98,74.25,80.26
0.848669,13.35,28.05,74.25,80.49
0.858293,14.93,28.35,74.33,80.94
0.868026,16.35,28.35,74.55,81.42
0.878011,18.38,28.05,74.25,81.47
0.886877,20.18,27.75,74.25,81.79
0.898778,22.12,27.53,73.65,81.68
0.906451,24.08,27.68,73.28,81.94
0.916816,26.25,27.45,72.53,81.87
0.925984,28.2,27.38,71.85,81.9
0.937177,28.2,27.38,71.85,81.9
0.957338,30,27.15,70.65,81.42
0.958366,31.88,27.15,69.45,81.1
0.965609,33.45,26.78,68.55,80.84
0.975465,35.03,26.55,67.28,80.36
0.983653,36.68,26.33,65.85,79.84
0.993936,38.18,25.88,64.35,79.17
1.003142,39.45,25.58,62.85,78.49
1.014195,40.73,24.75,61.28,77.63
1.024925,42,24.38,59.48,76.78
1.033277,42.98,23.62,57.53,75.59
1.042352,43.8,23.25,55.65,74.54
1.053013,44.62,22.65,54.08,73.68
1.070228,45.3,22.28,52.43,72.78
1.071659,45.75,22.05,50.85,71.87
1.089895,46.2,21.68,49.58,71.15
1.09102,46.5,21.53,48.45,70.52
1.099723,46.65,21.15,47.55,69.89
1.109786,46.5,20.85,46.65,69.09
1.118911,46.8,20.93,46.12,68.96
1.130159,46.73,20.85,45.45,68.44
1.138835,46.8,20.78,45.23,68.32
1.148805,46.88,20.78,45.15,68.32
1.158033,46.95,20.62,45.45,68.52
1.168575,46.95,20.55,45.75,68.7
1.179172,46.88,20.78,46.35,69.12
1.18775,47.03,21.15,47.18,69.89
1.196937,46.65,21.45,48.15,70.39
1.207088,46.43,21.75,49.35,71.16
1.217878,46.12,22.05,50.93,72.16
1.226628,46.12,22.05,50.93,72.16
1.236137,45.68,22.43,52.35,73
1.246864,45.08,22.95,53.63,73.72
1.254339,44.25,23.55,55.65,74.9
1.264832,43.35,24.23,57.23,75.77
1.273676,42.38,24.98,59.25,77.01
1.284607,41.33,25.28,61.05,77.93
1.297426,40.2,25.65,62.85,78.89
1.303668,38.55,26.33,64.28,79.44
1.314065,37.12,26.63,65.85,80.15
1.324543,35.7,27.15,67.35,80.92
1.335246,34.2,27.53,68.48,81.34
1.356234,32.62,27.75,69.75,81.85
1.357349,30.83,27.83,70.65,81.95
