time,Bx,By,Bz,BT
0.002832,112.8,70.88,71.25,151.08
0.020488,113.63,74.33,75.83,155.51
0.023994,114.15,77.85,80.78,160.05
0.03191,114.68,81.75,86.03,165.03
0.040226,115.13,86.25,91.88,170.69
0.050959,115.43,91.05,98.33,176.86
0.061011,115.28,96.15,105.23,183.32
0.069611,114.68,100.95,112.65,189.82
0.079132,113.7,106.35,120.38,196.79
0.089356,112.13,111.45,128.18,203.52
0.09822,110.1,117.08,135.83,210.42
0.108656,107.25,122.18,143.55,216.88
0.117788,103.73,126.98,151.05,222.93
0.128044,99.3,131.25,158.18,228.27
0.1385,93.98,135.15,164.85,232.96
0.147369,93.98,135.15,164.85,232.96
0.156891,87.83,138.45,170.78,236.74
0.168945,81.08,141.15,175.58,239.42
0.176303,73.73,143.33,179.93,241.56
0.186465,65.93,144.68,183.45,242.76
0.196601,57,145.43,185.78,242.71
0.205464,48.08,145.43,187.12,241.82
0.215601,39.23,144.75,187.35,239.98
0.227166,30.83,143.62,187.12,237.9
0.235463,23.03,142.58,186.23,235.66
0.244304,15.38,140.85,185.25,233.22
0.255266,8.55,139.05,183.15,230.11
0.263555,2.33,137.25,181.43,227.5
0.273194,-2.25,135.68,179.55,225.06
0.283193,-6.23,134.18,178.05,223.03
0.292182,-9.38,133.05,177.08,221.69
0.302816,-12.45,132.08,175.88,220.3
0.311344,-14.93,131.25,175.12,219.36
0.322275,-16.35,130.95,174.53,218.8
0.330425,-17.25,130.95,174.68,218.99
0.34091,-17.7,130.73,174.83,219.01
0.353616,-17.55,131.03,175.65,219.84
0.359706,-16.8,131.78,176.25,220.71
0.369508,-15.53,132.53,176.93,221.6
0.380976,-13.58,133.58,177.83,222.82
0.388931,-10.88,134.48,179.18,224.29
0.400232,-7.8,135.53,180.45,225.81
0.408342,-4.2,136.65,181.88,227.53
0.418506,0.08,138.08,183.15,229.37
0.428179,4.8,139.35,184.28,231.08
0.437624,10.05,140.55,185.33,232.81
0.447723,10.05,140.55,185.33,232.81
0.459417,15.98,141.75,186.23,234.58
0.475403,22.65,142.88,187.05,236.46
0.476473,29.48,143.55,186.98,237.56
0.486092,36.68,143.85,186.45,238.33
0.495878,44.03,143.85,185.25,238.64
0.504937,51.53,143.55,183.45,238.57
0.515248,59.33,142.65,181.35,238.24
0.524523,67.05,141.45,178.28,237.25
0.53467,74.33,139.12,174.23,235.02
0.545052,81.3,136.65,169.58,232.46
0.554825,87.9,133.88,164.25,229.41
0.563491,94.05,130.43,158.33,225.66
0.575307,99.45,126.68,151.95,221.42
0.591832,104.25,122.33,145.35,216.7
0.594872,108.3,117.75,138.15,211.37
0.602661,111.38,112.95,130.88,205.65
0.613042,113.63,107.93,123.45,199.5
0.623024,115.35,103.05,116.18,193.45
0.631511,116.48,98.03,109.13,187.31
0.640547,116.85,93.23,102.38,181.18
0.650493,116.93,88.73,96.15,175.47
0.660439,116.48,84.15,89.78,169.43
0.670078,115.5,79.95,83.62,163.48
0.679648,114.6,75.75,78.38,158.16
0.690673,113.63,72.23,73.65,153.46
0.700931,112.28,68.78,68.93,148.61
0.709649,110.85,65.78,64.43,144.1
0.717974,109.58,63.15,60.75,140.3
0.7291,108.38,60.98,57.53,137.01
0.740452,107.55,59.03,55.13,134.5
0.74799,107.55,59.03,55.13,134.5
0.756599,107.18,57.53,53.33,132.81
0.772491,106.73,56.85,51.83,131.56
0.776279,106.58,56.25,50.85,130.8
0.786665,106.58,55.95,50.63,130.58
0.79528,106.88,56.25,51.08,131.13
0.806288,107.33,56.78,51.98,132.07
0.823058,107.85,57.45,52.95,133.18
0.825432,108.45,58.73,54.75,134.94
0.834127,108.98,60.38,56.78,136.91
0.84455,109.8,61.95,59.25,139.3
0.853845,110.55,63.98,61.95,141.96
0.863654,111.83,66.53,65.48,145.66
0.873065,112.88,69.38,69.45,149.59
0.882998,113.85,72.45,73.58,153.7
0.892058,114.83,75.98,78.53,158.5
0.90265,115.43,79.65,83.55,163.24
0.911285,115.95,83.62,89.25,168.53
0.921226,115.95,88.05,95.25,173.98
0.930445,115.88,92.62,101.85,179.94
0.941887,114.98,97.65,108.75,185.96
0.952788,113.93,102.75,115.95,192.3
0.960091,112.35,107.55,123.38,198.52
0.971475,110.18,112.65,130.65,204.69
0.980923,107.48,117.68,138.08,210.86
0.988906,103.95,122.48,145.12,216.49
0.998498,99.98,127.05,152.48,222.23
1.007956,94.95,131.48,159.15,227.22
1.025152,89.55,134.93,165.38,231.46
1.026687,83.1,138.23,171.23,235.22
1.03755,83.1,138.23,171.23,235.22
1.049791,76.5,141.38,176.25,238.54
1.057993,69.15,143.55,180.45,240.73
1.066706,61.8,145.35,183.75,242.3
1.077403,54,146.48,186.38,243.12
1.086434,46.05,146.85,188.18,243.1
1.0955,38.33,146.62,188.85,242.14
1.105672,30.9,146.25,188.93,240.91
1.115972,23.93,145.05,188.25,238.85
1.12386,17.1,143.33,187.05,236.27
1.134825,11.1,141.83,185.85,234.05
1.143786,5.33,139.95,184.28,231.46
1.155411,0.53,137.93,182.25,228.56
1.163769,-3.68,136.43,180.45,226.25
