time,Bx,By,Bz,BT
0.004349,105.15,32.55,75.3,133.36
0.009413,105.15,34.35,77.55,135.09
0.02427,105,36.08,79.43,136.51
0.028686,104.85,38.25,81.75,138.35
0.044365,104.55,40.35,84.15,140.14
0.048118,104.25,42.45,87.15,142.36
0.058201,104.25,42.45,87.15,142.36
0.067145,103.95,44.78,90.15,144.7
0.07775,103.13,47.25,92.93,146.64
0.086816,102.75,49.88,96.15,149.3
0.097249,101.93,52.35,99.15,151.53
0.105928,100.95,55.05,102.6,154.1
0.116242,99.75,57.75,106.05,156.63
0.126194,98.25,60.98,109.95,159.56
0.143623,96.6,64.5,113.63,162.49
0.145336,94.43,67.95,117.3,165.2
0.155312,92.1,71.1,121.05,167.9
0.164841,89.33,74.18,124.43,170.18
0.175946,86.25,77.25,127.8,172.45
0.192003,83.25,80.1,130.95,174.63
0.193332,79.95,82.95,133.95,176.68
0.203361,76.5,85.28,136.35,178.09
0.213248,73.35,87.08,138.45,179.25
0.222619,69.83,88.65,140.25,180.01
0.232588,66.53,90.08,141.83,180.7
0.241979,63.23,91.65,143.55,181.67
0.252036,60.23,92.85,144.9,182.33
0.261077,57.3,93.9,146.1,182.88
0.271106,54.53,94.65,147.23,183.32
0.280938,52.35,95.48,148.35,184.02
0.293314,49.95,96.08,149.03,184.21
0.299496,48.3,96.6,149.55,184.47
0.310794,46.95,97.28,150.45,185.21
0.32003,45.83,97.58,151.05,185.57
0.329845,44.93,97.88,151.5,185.88
0.338059,44.33,98.1,151.95,186.22
0.348996,43.8,98.25,152.33,186.48
0.357373,43.8,98.25,152.33,186.48
0.367555,43.8,98.4,152.55,186.74
0.377802,44.25,98.48,152.7,187.01
0.387066,44.62,98.55,153.15,187.51
0.397414,45.23,98.55,152.93,187.47
0.407326,46.35,98.4,152.93,187.66
0.416163,47.62,98.18,152.62,187.62
0.42616,49.2,97.8,151.95,187.28
0.436303,51.15,97.2,151.12,186.82
0.445904,53.25,96.45,150.23,186.29
0.456356,55.43,95.55,148.95,185.44
0.465635,57.83,94.28,147.3,184.2
0.474035,60.6,92.85,145.5,182.93
0.487427,63.53,91.35,143.4,181.5
0.493943,66.45,89.78,141.53,180.29
0.503317,69.3,87.98,139.5,178.89
0.512937,72.45,85.95,136.95,177.18
0.522825,75.45,83.85,134.25,175.35
0.532413,78.53,81.6,131.62,173.64
0.543098,81.53,78.98,128.85,171.71
0.559755,84.53,76.65,125.85,169.88
0.562639,87,73.95,122.63,167.55
0.570238,89.4,70.95,119.1,164.96
0.581125,91.95,68.25,115.95,162.96
0.590739,94.12,65.48,112.8,160.84
0.60002,96,62.7,109.5,158.55
0.609593,97.65,59.85,106.13,156.14
0.619398,99.15,57.45,103.05,154.11
0.629229,100.2,54.3,100.13,151.7
0.639604,101.25,51.9,97.35,149.74
0.647546,102.45,49.05,93.83,147.33
0.658023,102.45,49.05,93.83,147.33
0.66778,103.05,46.2,90.45,144.69
0.677353,103.5,43.5,87.53,142.36
0.690807,103.8,40.8,84.75,140.08
0.697221,104.25,38.48,82.05,138.13
0.706255,104.55,36.15,79.65,136.31
0.717476,104.55,34.2,77.25,134.42
0.725638,104.7,31.95,75.15,132.78
0.735301,104.85,30.68,73.65,131.75
0.745416,104.63,29.25,72.15,130.41
0.755867,104.63,28.05,70.5,129.24
0.765129,104.7,27,69.3,128.43
0.777427,104.7,25.95,68.25,127.65
0.785245,104.85,25.05,67.12,126.99
0.795203,104.85,24.45,66.15,126.36
0.802867,105,24.15,65.4,126.04
0.813288,105,23.55,64.95,125.69
0.825079,105.15,23.25,64.5,125.53
0.832452,105.23,23.18,64.35,125.5
0.841831,105.3,23.18,64.2,125.49
0.854757,105.15,22.95,64.12,125.28
0.861206,104.85,22.95,64.35,125.14
0.871257,105,23.25,64.5,125.4
0.879845,105,23.7,64.8,125.64
0.890745,105,24.15,65.55,126.12
0.900219,105.15,24.75,66.23,126.71
0.910272,105.15,25.35,67.2,127.34
0.919273,105.15,26.25,68.25,128.08
0.930089,105.23,27.38,69.53,129.06
0.938734,105.23,28.58,70.95,130.09
0.954642,105.23,29.85,72.6,131.28
0.957761,105.23,29.85,72.6,131.28
0.972182,105.15,31.2,74.55,132.62
0.977164,105.45,32.78,76.35,134.25
0.987374,105.45,34.65,78.75,136.1
