time,Bx,By,Bz,BT
0.001819,245.93,200.55,110.93,336.16
0.006512,245.33,197.55,108.45,333.12
0.018001,244.88,195.45,106.95,331.06
0.026375,244.8,194.25,106.05,330.01
0.036957,244.8,194.25,106.05,330.01
0.050067,244.65,194.48,106.05,330.03
0.054963,245.33,195.45,107.03,331.42
0.064908,245.85,197.25,108.23,333.26
0.074121,246.53,199.58,110.18,335.77
0.086095,247.28,202.73,112.95,339.12
0.094388,248.18,206.78,116.18,343.28
0.10382,249.38,211.35,120.15,348.27
0.11467,250.35,216.83,124.95,353.98
0.123505,251.55,223.35,130.58,360.85
0.132922,252.3,230.55,136.73,368.11
0.143377,252.75,238.95,144.15,376.51
0.152895,253.05,248.03,152.25,385.66
0.169582,253.13,258.23,161.48,396.01
0.172076,252.83,269.18,171.45,407.15
0.180745,251.7,280.88,181.95,418.75
0.190277,249.98,293.25,193.35,431.12
0.205522,246.83,306.08,205.35,443.59
0.210015,242.63,318.75,217.73,455.93
0.219727,237.3,331.28,230.25,468.05
0.230038,230.4,343.35,242.85,479.53
0.238905,221.93,355.05,255.45,490.48
0.248761,211.5,365.85,267.53,500.15
0.258839,199.43,375.15,279.08,508.32
0.269983,185.55,382.88,289.95,514.87
0.277732,170.7,389.03,299.55,519.82
0.287116,154.35,393.68,308.03,523.15
0.297283,154.35,393.68,308.03,523.15
0.307214,118.8,397.43,321.68,524.91
0.3162,99.9,396.38,326.03,522.86
0.326931,80.93,393.45,328.95,519.19
0.335779,80.93,393.45,328.95,519.19
0.345435,62.1,388.95,330.23,513.99
0.35587,43.58,382.95,329.93,507.35
0.365198,25.5,375.38,328.65,499.57
0.374812,8.4,367.05,325.88,490.91
0.387806,-7.8,357.75,321.75,481.22
0.394269,-22.95,347.93,316.95,471.21
0.403963,-36.68,337.65,311.48,460.84
0.420823,-49.13,327.23,305.62,450.44
0.422765,-60.68,317.25,299.55,440.52
0.433364,-71.18,306.75,292.95,430.09
0.442795,-79.95,297.83,286.95,421.23
0.451919,-87.38,289.28,281.48,412.97
0.470645,-93.75,281.62,276.45,405.62
0.471615,-99.3,274.58,271.73,398.86
0.482089,-103.95,268.35,267.83,393.13
0.490149,-107.7,263.33,264.38,388.37
0.501264,-110.18,259.35,261.75,384.6
0.511554,-111.53,257.18,260.25,382.5
0.520805,-112.88,255.15,258.98,380.67
0.529557,-113.48,254.25,258.45,379.89
0.539885,-113.48,254.25,258.53,379.94
0.547788,-112.58,255.83,259.58,381.44
0.559028,-111.08,258.45,261.15,383.84
0.571439,-108.9,261.75,263.78,387.23
0.578209,-106.13,266.03,267.15,391.66
0.586962,-102.53,271.28,271.12,397
0.597622,-97.88,277.35,275.85,403.23
0.607135,-92.7,284.55,281.03,410.53
0.61894,-86.25,292.35,286.65,418.42
0.626022,-86.25,292.35,286.65,418.42
0.636931,-78.68,300.98,292.58,427.05
0.644428,-69.98,310.05,298.65,436.14
0.655916,-60.08,319.65,304.58,445.59
0.670145,-48.98,329.33,310.05,454.96
0.674886,-36.23,339.15,315.45,464.59
0.683505,-21.98,349.05,320.55,474.42
0.698602,-6.68,358.28,324.68,483.55
0.702538,9.98,366.98,327.83,492.18
0.713182,27.3,374.78,330.15,500.2
0.722649,45.9,381.45,331.05,507.15
0.733204,64.73,387.08,330.53,513.09
0.743509,84.15,391.28,328.65,517.87
0.753665,103.2,393.53,325.12,520.79
0.770341,121.88,393.98,319.95,521.96
0.774638,140.18,392.63,313.35,521.53
0.780549,157.35,389.55,305.33,519.36
0.790173,173.85,384.68,295.95,515.54
0.800415,188.4,378.15,285.15,509.71
0.810912,202.05,370.05,273.75,502.69
0.819522,213.9,360.68,261.53,494.2
0.828651,224.1,350.25,248.78,484.55
0.838738,232.43,338.93,236.03,473.92
0.848614,239.25,327.15,223.05,462.62
0.858303,244.58,315.08,210.45,450.97
0.868532,248.4,302.93,198.45,439.15
0.881203,251.4,290.78,186.83,427.38
0.890633,253.05,278.93,175.95,415.68
0.896602,253.58,267.45,165.68,404.08
0.912422,253.65,256.65,156.45,393.3
0.916128,253.2,246.75,147.68,383.15
0.927376,253.2,246.75,147.68,383.15
0.936889,252.3,237.38,140.03,373.64
0.946207,251.25,228.75,133.05,364.9
0.955774,250.13,220.95,127.05,357.1
0.96463,248.7,214.28,121.58,350.07
0.974814,247.58,208.35,116.85,344.03
0.984852,246.53,203.33,113.18,339
0.997481,245.7,199.58,109.95,335.09
1.005278,245.25,196.58,107.85,332.3
1.024064,245.1,194.85,106.13,330.61
1.024984,244.88,193.95,105.45,329.7
1.033638,244.8,194.18,105.45,329.77
1.042925,245.4,195.38,106.73,331.33
1.053059,245.85,197.25,108.68,333.41
1.063096,246.75,200.33,111.23,336.73
1.071483,247.88,204.38,114.53,341.07
1.082024,248.85,209.25,118.35,346
1.089435,249.9,214.65,123.08,351.67
1.105449,251.18,220.95,128.55,358.38
1.110232,252.53,228.23,134.85,366.11
1.120215,253.28,236.25,141.68,374.21
1.128416,254.33,245.33,149.18,383.56
1.139524,254.85,255.45,157.65,393.77
